username,tweetcreatedts,text
JonPakuan,2022-03-25 08:23:58,"@ShamsiAli2 Booster gratis kok, napa dipersoalkan??

Ini soal kemauan

Jumlah meninggal karna covid di Madura sangat banyak, karena menolak vaksin pada hal gratis"
BeBuzzerNKRI,2022-03-25 08:22:45,@MonangDjihado @ShamsiAli2 Utk booster gak perlu ditest. Anda cukup dtg ke tempat vaksin. Bila sdh vaksin 1 &amp; 2 Anda bisa lgsg vaksin ketiga alias booster and vaksin nya GRATIS!!!
ilnazir,2022-03-25 07:53:14,"@DPP_PPP Lebaran masih lama, udah bisa vaksin booster sekarang ,gratis lagi ! Terus masalahnya dimana ?"
morodjoyo,2022-03-25 07:48:29,"Persoalan nya Bukan Vaksin Gratis atau Ber Bayar. 
👉Itu hitung2an Para Mafia &amp; Sales Vaksin.. Itu Urusannya.. Kekuasaan untuk Bagi bagi fee &amp; komisi. 
Yg dipersoalkan... Apakah Vaksinasi Paksa bisa Menyelamatkan Manusia? 
Apakah Satu2nya..Solusi? 
Yg bisa Menjamin Bebas Virus?"
reportasee,2022-03-25 07:45:34,Lokasi Vaksin Booster Dapat Minyak Goreng Gratis Viral https://t.co/Hu4JdlDmEe https://t.co/aw9j4LNPE3
reportasee,2022-03-25 07:45:33,Lokasi Vaksin Booster Dapat Minyak Goreng Gratis Viral: https://t.co/pGLdoIH4AE – Lokasi vaksin booster dapat minyak goreng gratis baru-baru ini menjadi perbincangan hangat di kalangan masyarakat Indonesia. Hal ini mengingat pemerintah secara resmi… https://t.co/8IRLcxp4pV
bonowayang,2022-03-25 07:39:59,"@MonangDjihado @ShamsiAli2 Hi pemalas, Vaksin Booster GRATIS!  Tinggal datang.."
bonowayang,2022-03-25 07:39:20,"@MonangDjihado @ShamsiAli2 Semoga tidak gampang di bodohi ya pak, ya gak mau bayar tes antigen, tinggal boster gratis, malah nanti di siapkan tmpt vaksin di kantong2 pemberangkatan mudik, kurang baik apa lagi pemerintah ? Pemerintah mau yg mudik aman gak terkena virus masih aja di nyinyirin https://t.co/hEngBUBgEL"
__AnakKolong,2022-03-25 07:29:22,"@__AnakKolong Padahal vaksin masih gratis,"
Ngadinopanser,2022-03-25 07:27:42,"@__AnakKolong Padahal vaksin masih gratis,"
